,City_Name,Country_Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
165,esperance,au,-42.91100563876372,127.40601917067369,55.61,94,88,15.03
166,barrow,us,89.56854354092087,-147.07305002697308,-6.23,74,32,25.88
167,busselton,au,-76.4181242273282,85.42663327132561,-25.8,50,0,13.69
168,fuyang,cn,30.038653605658155,119.94546697043148,44.6,42,0,4.47
169,padang,id,-7.961023082837073,90.30016604373134,82.83,100,80,5.41
170,sur,om,19.50841695657779,61.08807852797315,77.66,99,0,15.93
171,naze,jp,27.676883736921695,131.38132261984146,69.29,100,68,13.13
172,chuy,uy,-46.46909150953754,-38.43315165577445,50.07,99,88,22.08
173,goundi,td,9.612628967483516,16.984558488322335,94.89,25,0,4.74
174,vaini,to,-23.239485556403466,-171.61013947287796,73.16,100,32,13.8
175,jamestown,sh,-37.38608312864129,-16.744204446523582,63.21,97,0,14.03
176,sorong,id,3.244670889656021,131.65578741908263,77.21,100,92,14.03
177,ilulissat,gl,72.91193732990436,-45.64313171776459,-4.38,66,56,18.28
178,port keats,au,-13.69577571981867,127.08872326392185,89.81,94,24,8.1
179,mataura,pf,-66.8061772381832,-158.52255809298902,27.03,96,88,15.48
180,atbasar,kz,51.78966526993017,67.66497078237032,18.03,88,80,8.77
181,thinadhoo,mv,1.4237287444091606,64.8545618654299,82.43,98,88,10.11
182,hilo,us,25.165242447851526,-150.7415112072449,70.01,100,0,13.91
183,kokopo,pg,-6.379391256165405,152.3692891788889,83.33,100,64,5.97
184,new norfolk,au,-76.06795046259052,128.28573405851358,-25.08,50,36,5.64
185,illoqqortoormiut,gl,78.78226399869857,-22.70052570801971,-9.65,62,64,2.39
186,punta arenas,cl,-85.59359104333697,-100.30746460246483,-12.17,72,0,7.99
187,ormara,pk,22.82328985323491,65.16763943298363,75.81,100,0,6.64
188,astoria,us,45.7223368384434,-123.78457062256084,31.21,80,1,6.93
189,san isidro,ph,5.658121727543644,130.02420380416447,78.33,100,80,9.55
190,albany,au,-85.02517108583834,91.170462362362,-25.71,50,0,8.66
191,punta arenas,cl,-51.18671808552478,-81.05998066903804,48.99,89,92,30.58
192,avarua,ck,-53.94005329307049,-163.15241634405265,45.39,91,92,18.5
193,luderitz,na,-25.47457789708332,12.080048030268074,65.19,94,0,23.76
194,busselton,au,-35.06642681233936,112.19823636643542,63.84,100,8,18.05
195,punta arenas,cl,-59.00399894319176,-111.08221541224903,36.08,100,36,4.63
196,yellowknife,ca,59.73817278093469,-111.28503506314402,8.6,84,90,4.7
197,kloulklubed,pw,3.62136845536034,132.76845699176806,79.59,100,44,13.24
198,lima,pe,-16.661486968900917,-84.70384707506396,64.65,100,64,11.79
199,palabuhanratu,id,-9.931031681702947,105.95149408405831,77,88,90,6.93
200,kaitangata,nz,-56.80373131736519,172.683681310861,44.67,100,64,24.09
201,hihifo,to,-16.622510148667047,-176.93072562050136,79.41,100,92,4.74
202,alanya,tr,36.142656779602504,31.87169678725553,61.64,100,48,5.41
203,lavrentiya,ru,76.31387103469154,-167.32576200820768,0.57,97,68,12.68
204,albany,au,-56.63012941080398,116.70297638337007,37.56,97,92,14.03
205,vaini,to,-74.21388665796353,-177.32762974825624,20.82,100,20,6.76
206,busselton,au,-62.331824649089306,99.27184159883711,30.99,100,68,8.66
207,busselton,au,-41.585406971759845,88.42464215684123,57.18,95,56,27
208,bethel,us,60.16998711012408,-159.90827756038425,3.99,75,20,2.62
209,waingapu,id,-14.214064677125933,117.42017221203196,85.04,100,8,11.01
210,shache,cn,38.618402381577255,79.15762668427044,16.41,63,0,6.87
211,tuktoyaktuk,ca,80.48807004578643,-136.42634739487255,5.66,84,92,25.55
212,umzimvubu,za,-39.44045423072304,36.77178502458682,56.33,100,36,34.61
213,pokhara,np,33.568629724950256,86.3624941581935,-4.02,57,0,2.73
214,georgetown,sh,-13.758760574068944,-20.25500876590371,74.28,100,32,12.24
215,barrow,us,67.01180835172156,-153.55525167945726,9.48,84,88,2.39
216,puerto quijarro,bo,-17.339091643244018,-57.68567723404868,72.89,100,92,5.08
217,barrow,us,85.24378280334253,-145.81221701914433,-8.07,81,32,28.12
218,te anau,nz,-45.24179416853497,164.10808370408301,59.79,98,92,26.11
219,airai,pw,14.864578602533115,138.3181141728241,83.78,100,68,10.22
220,atuona,pf,-1.6698447973613497,-139.1521115224515,75.36,100,68,12.57
221,victoria,sc,-0.7961277567854523,56.89347832273839,79.05,100,80,11.34
222,upernavik,gl,85.7056451769503,-48.27523303901779,13.44,82,48,26.55
223,illoqqortoormiut,gl,77.22688311724315,-13.694687279919094,11.51,96,80,3.74
224,vaitupu,wf,-4.923053964106899,-174.3029094678832,81.26,100,80,8.77
225,atuona,pf,3.3508782107746526,-127.78826905867942,76.13,100,92,11.23
226,severo-kurilsk,ru,37.08476005637178,161.38489985469266,59.61,100,88,21.07
227,busselton,au,-54.106891668509135,98.08192471347922,37.43,98,20,11.68
228,georgetown,sh,-4.517927063347898,-13.632316910805173,76.94,100,64,13.69
229,jiuquan,cn,36.85733966793519,97.91823799721925,14.61,62,8,2.73
230,honningsvag,no,82.39838807660476,26.38524839068009,23.03,100,56,21.74
231,vanimo,pg,4.051111372188828,140.5160554160688,84.9,100,92,8.21
232,christchurch,nz,-48.80768184307532,177.25626111030306,54.3,94,76,28.34
233,ostrovnoy,ru,78.700511664255,42.228925107713934,23.84,100,80,16.93
234,lagoa,pt,40.59563376253564,-28.845596914497378,65.37,98,100,29.24
235,mogadishu,so,2.0354018942005183,46.83752778902789,80.85,98,0,20.85
236,puerto ayora,ec,0.83858919759993,-103.79565134888671,68.61,95,0,13.24
237,nizhneudinsk,ru,53.68463467842426,97.9204260693358,-14.1,52,0,2.28
238,ikom,ng,6.350697941499234,9.332563690635965,93.09,21,32,3.96
239,vengerovo,ru,55.75805985846341,76.64501727161758,24.42,91,80,11.68
240,rikitea,pf,-46.243783634865665,-131.46797514062996,49.76,95,92,20.74
241,bredasdorp,za,-80.85391756110357,27.121482665894945,-7.08,89,36,10.45
242,illoqqortoormiut,gl,81.51221604367552,-25.95209289978405,-24.63,35,8,1.72
243,mataura,pf,-71.6075439411912,-147.6671193842679,21.45,100,80,6.64
244,rangia,in,26.43364371042071,91.7942027511292,75.2,83,75,9.22
245,lexington,us,40.70334032590375,-100.16934702462738,30,43,1,11.41
246,port elizabeth,za,-78.46692904910097,30.57920824482855,-20.63,56,0,6.76
247,namatanai,pg,0.05144141408284497,157.45560599938187,85.17,100,24,6.98
248,busselton,au,-41.41864649668838,91.59762205959782,56.91,95,20,25.88
249,neiafu,to,-18.249991902744327,-173.9676464395434,68,100,20,4.41
250,la paz,mx,24.266204023431328,-110.08059279785766,69.8,68,90,8.05
251,saint-philippe,re,-59.33790969130126,74.10203309717903,31.62,100,80,11.56
252,itacoatiara,br,-1.6314544723928748,-59.081624513994484,84.27,75,48,3.06
253,sola,vu,-13.690722899197297,174.2672496105804,82.11,100,0,9.44
254,cherskiy,ru,76.97553842520196,156.22300681232076,-9.42,88,24,16.82
255,vostok,ru,49.234417840890046,149.30816518172173,30.68,100,32,33.93
256,marzuq,ly,23.540952913799003,16.27911829168795,65.64,35,0,13.8
257,puerto ayora,ec,-2.8258804448513075,-92.12480972689042,70.46,98,92,9.33
258,chokurdakh,ru,82.5814442175396,149.2766163378207,-17.75,80,8,9.78
259,haskovo,bg,41.87092391618128,25.55727635403946,37.4,55,0,12.75
260,marcona,pe,-17.704880343939976,-79.54130971041842,63.93,100,76,11.23
261,puerto ayora,ec,-21.922451631398374,-99.27074160454191,67.94,100,80,8.88
262,bluff,nz,-55.085100363143816,164.30967021858265,42.87,100,68,40.53
263,castro,cl,-48.64844134399479,-98.59316670310278,48.54,94,76,24.76
264,esperance,au,-42.10957492672341,122.20775753493047,57.27,95,92,9.22
265,punta arenas,cl,-51.438919375004176,-79.28209243041948,48.9,91,92,31.59
266,puerto ayora,ec,-17.725321081999795,-105.96216038878028,70.32,100,88,14.36
267,punta arenas,cl,-83.4374938652868,-123.85060680947137,11.33,79,0,17.05
268,albany,au,-81.06972114722636,98.78985994048259,-28.23,55,20,9.55
269,paamiut,gl,65.47018955255501,-47.1922178888787,11.64,79,76,25.1
270,san cristobal,ec,-4.2800471741103365,-87.3072242454878,70.77,97,12,11.79
271,kuzedeyevo,ru,53.080789999329824,86.87377249564275,11.37,75,92,6.53
272,constitucion,mx,11.187843131504223,-129.60806834766709,76.49,100,80,9.66
273,fortuna,us,33.38167610412796,-141.5412619419493,60.33,100,76,27.34
274,wageningen,sr,5.245587948754093,-57.01538511400298,84.45,73,76,4.18
275,ushuaia,ar,-86.72800123283876,-82.59185185049976,-9.42,63,0,9.89
